Sun Oct 23 21:40:21 COT 2022 - Cliente 1 intentando conectarse
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:22 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 21:40:23 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
